STATE/UT,DISTRICT,Year,Murder,Infanticid,Rape,Foeticide,Kidnapping and Abduction,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes,Total
Andhra Pradesh,ADILABAD,2013,1,0,21,0,9,0,0,0,0,1,1,33
Andhra Pradesh,ANANTAPUR,2013,1,0,15,0,68,3,0,0,0,0,0,87
Andhra Pradesh,CHITTOOR,2013,6,0,1,0,0,0,0,0,0,0,0,7
Andhra Pradesh,CUDDAPAH,2013,0,2,14,0,32,0,0,0,0,1,0,49
Andhra Pradesh,CYBERABAD,2013,8,1,45,2,69,0,2,9,0,1,19,156
Andhra Pradesh,EAST GODAVARI,2013,0,0,4,0,1,0,0,0,0,0,20,25
Andhra Pradesh,GUNTAKAL RLY.,2013,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,GUNTUR,2013,9,1,21,0,46,0,7,0,0,0,0,84
Andhra Pradesh,GUNTUR URBAN,2013,0,0,23,0,24,0,3,0,0,0,0,50
Andhra Pradesh,HYDERABAD CITY,2013,2,0,21,0,16,1,0,1,0,0,11,52
Andhra Pradesh,KARIMNAGAR,2013,3,1,33,0,84,0,0,0,0,1,4,126
Andhra Pradesh,KHAMMAM,2013,4,1,46,1,83,0,0,0,0,2,89,226
Andhra Pradesh,KRISHNA,2013,2,0,49,0,35,3,0,0,0,0,81,170
Andhra Pradesh,KURNOOL,2013,0,1,15,0,50,0,6,0,0,0,27,99
Andhra Pradesh,MAHABOOBNAGAR,2013,12,0,70,0,35,0,2,6,0,0,0,125
Andhra Pradesh,MEDAK,2013,1,0,35,0,11,0,2,17,0,0,0,66
Andhra Pradesh,NALGONDA,2013,1,0,53,2,70,0,1,0,0,3,0,130
Andhra Pradesh,NELLORE,2013,4,0,13,0,61,1,3,0,0,0,55,137
Andhra Pradesh,NIZAMABAD,2013,6,0,24,2,9,0,5,6,0,2,11,65
Andhra Pradesh,PRAKASHAM,2013,3,0,35,0,36,0,1,1,1,0,57,134
Andhra Pradesh,RAJAHMUNDRY,2013,0,0,10,0,2,0,1,0,0,0,9,22
Andhra Pradesh,RANGA REDDY,2013,5,0,21,0,13,0,0,0,0,1,6,46
Andhra Pradesh,SECUNDERABAD RLY.,2013,1,0,0,0,2,0,0,0,0,0,0,3
Andhra Pradesh,SRIKAKULAM,2013,2,0,18,0,15,2,0,0,0,1,32,70
Andhra Pradesh,TIRUPATHI URBAN,2013,1,0,2,0,8,0,0,0,0,0,0,11
Andhra Pradesh,VIJAYAWADA CITY,2013,1,0,28,0,38,0,6,0,0,1,111,185
Andhra Pradesh,VIJAYAWADA RLY.,2013,0,0,0,0,1,0,4,0,0,0,1,6
Andhra Pradesh,VISAKHA RURAL,2013,1,0,9,0,12,0,0,0,0,0,2,24
Andhra Pradesh,VISAKHAPATNAM,2013,2,0,33,0,54,0,0,0,0,0,3,92
Andhra Pradesh,VIZIANAGARAM,2013,0,0,13,0,10,0,0,0,0,0,17,40
Andhra Pradesh,WARANGAL,2013,3,0,33,0,45,4,0,0,0,1,1,87
Andhra Pradesh,WARANGAL URBAN,2013,0,0,24,0,27,0,0,0,0,0,2,53
Andhra Pradesh,WEST GODAVARI,2013,8,0,41,0,48,0,0,0,1,1,17,116
Andhra Pradesh,TOTAL,2013,87,7,770,7,1014,14,43,40,2,16,576,2576
Arunachal Pradesh,ANJAW,2013,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,CHANGLANG,2013,0,0,4,0,5,0,0,0,0,0,0,9
Arunachal Pradesh,DIBANG VALLEY,2013,0,0,0,0,1,0,0,0,0,0,2,3
Arunachal Pradesh,K/KUMEY,2013,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,KAMENG EAST,2013,0,0,1,0,7,0,0,0,0,0,0,8
Arunachal Pradesh,KAMENG WEST,2013,0,0,1,0,0,0,0,0,0,0,0,1
Arunachal Pradesh,LOHIT,2013,0,0,7,0,14,0,0,0,0,0,0,21
Arunachal Pradesh,LONGDING,2013,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,PAPUM PARE,2013,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,RURAL,2013,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,SIANG EAST,2013,0,0,8,0,5,0,0,0,0,0,2,15
Arunachal Pradesh,SIANG UPPER,2013,0,0,0,0,1,0,0,0,0,0,0,1
Arunachal Pradesh,SIANG WEST,2013,0,0,5,0,4,0,0,0,0,0,1,10
Arunachal Pradesh,SUBANSIRI LOWER,2013,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,SUBANSIRI UPPER,2013,0,0,9,0,1,0,0,0,0,0,1,11
Arunachal Pradesh,TAWANG,2013,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,TIRAP,2013,0,0,0,0,2,0,0,0,0,0,1,3
Arunachal Pradesh,UPPER DIBANG VALLEY,2013,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,TOTAL,2013,0,0,35,0,40,0,0,0,0,0,7,82
Assam,BAKSA,2013,0,0,1,0,4,0,0,0,0,0,0,5
Assam,BARPETA,2013,0,0,0,0,0,0,0,0,0,0,0,0
Assam,BIEO,2013,0,0,0,0,0,0,0,0,0,0,0,0
Assam,BONGAIGAON,2013,0,0,3,0,0,0,0,0,0,0,0,3
Assam,C.I.D.,2013,0,0,0,0,0,0,0,0,0,0,0,0
Assam,CACHAR,2013,0,0,3,0,5,0,0,0,0,0,0,8
Assam,CHIRANG,2013,1,0,10,0,10,0,0,0,0,0,0,21
Assam,DARRANG,2013,0,0,0,0,0,0,0,0,0,0,0,0
Assam,DHEMAJI,2013,0,0,0,0,0,0,0,0,0,0,0,0
Assam,DHUBRI,2013,1,0,138,0,7,0,0,127,0,1,7,281
Assam,DIBRUGARH,2013,0,0,0,0,0,0,0,0,0,0,0,0
Assam,G.R.P.,2013,0,0,0,0,0,0,0,0,0,0,0,0
Assam,GOALPARA,2013,0,0,26,0,2,0,0,0,0,0,0,28
Assam,GOLAGHAT,2013,0,0,0,0,0,0,0,0,0,0,0,0
Assam,GUWAHATI CITY,2013,0,0,0,0,0,0,0,0,0,0,0,0
Assam,HAILAKANDI,2013,0,0,0,0,0,0,0,0,0,0,0,0
Assam,HAMREN,2013,0,0,0,0,0,0,0,0,0,0,0,0
Assam,JORHAT,2013,7,0,8,0,0,0,0,0,0,0,0,15
Assam,KAMRUP,2013,0,0,2,0,0,0,0,0,0,0,1,3
Assam,KARBI ANGLONG,2013,0,0,4,0,0,0,0,0,0,0,0,4
Assam,KARIMGANJ,2013,0,0,0,0,0,0,0,0,0,0,0,0
Assam,KOKRAJHAR,2013,0,0,1,0,7,0,0,0,0,0,0,8
Assam,LAKHIMPUR,2013,0,0,5,0,0,0,0,0,0,0,0,5
Assam,MORIGAON,2013,2,0,6,0,10,0,0,0,0,0,8,26
Assam,N.C.HILLS,2013,0,0,0,0,0,0,0,0,0,0,0,0
Assam,NAGAON,2013,0,0,7,0,0,0,0,0,0,0,0,7
Assam,NALBARI,2013,0,0,6,0,29,0,0,0,0,0,1,36
Assam,R.P.O.,2013,0,0,0,0,0,0,0,0,0,0,0,0
Assam,SIBSAGAR,2013,0,0,2,0,4,0,0,2,0,0,23,31
Assam,SONITPUR,2013,2,0,4,0,2,0,0,0,0,0,24,32
Assam,STF,2013,0,0,0,0,0,0,0,0,0,0,0,0
Assam,TINSUKIA,2013,1,0,4,0,0,0,0,0,0,0,0,5
Assam,UDALGURI,2013,0,0,0,0,0,0,0,0,0,0,0,0
Assam,TOTAL,2013,14,0,230,0,80,0,0,129,0,1,64,518
Bihar,ARARIA,2013,0,0,1,0,25,0,0,0,0,0,0,26
Bihar,ARWAL,2013,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,AURANGABAD,2013,3,0,6,0,0,0,0,0,0,0,0,9
Bihar,BAGAHA,2013,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,BANKA,2013,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,BEGUSARAI,2013,4,0,1,0,0,0,0,0,0,0,0,5
Bihar,BETTIAH,2013,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,BHABHUA,2013,0,0,0,0,48,0,0,0,0,0,0,48
Bihar,BHAGALPUR,2013,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,BHOJPUR,2013,3,0,1,0,50,0,0,3,0,0,0,57
Bihar,BUXAR,2013,0,0,1,0,0,0,0,0,0,0,0,1
Bihar,DARBHANGA,2013,1,0,2,1,4,0,1,25,2,0,1,37
Bihar,GAYA,2013,9,0,21,0,91,0,0,0,0,0,3,124
Bihar,GOPALGANJ,2013,4,0,2,0,41,0,0,0,0,0,0,47
Bihar,JAMALPUR RLY.,2013,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,JAMUI,2013,2,0,1,0,1,0,0,12,0,1,0,17
Bihar,JEHANABAD,2013,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,KATIHAR,2013,7,0,5,0,13,0,0,0,0,0,0,25
Bihar,KATIHAR RLY.,2013,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,KHAGARIA,2013,1,0,1,0,26,0,0,0,0,0,0,28
Bihar,KISHANGANJ,2013,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,LAKHISARAI,2013,9,0,1,0,30,0,0,0,0,0,0,40
Bihar,MADHEPURA,2013,0,0,0,0,20,0,0,42,0,0,0,62
Bihar,MADHUBANI,2013,1,0,0,0,12,0,0,0,0,0,0,13
Bihar,MOTIHARI,2013,1,0,1,0,128,0,0,1,1,0,0,132
Bihar,MUNGER,2013,1,0,1,0,11,0,0,0,0,0,0,13
Bihar,MUZAFFARPUR,2013,6,0,6,0,226,0,0,0,0,0,0,238
Bihar,MUZAFFARPUR RLY.,2013,0,0,1,0,0,0,0,0,0,0,0,1
Bihar,NALANDA,2013,1,0,1,0,1,0,0,23,0,0,0,26
Bihar,NAUGACHIA,2013,0,0,0,0,0,0,0,0,0,0,2,2
Bihar,NAWADAH,2013,7,0,0,0,39,0,0,0,0,0,0,46
Bihar,PATNA,2013,10,0,0,0,0,0,0,15,0,0,0,25
Bihar,PATNA RLY.,2013,0,0,0,0,6,0,0,0,0,0,6,12
Bihar,PURNEA,2013,3,0,2,0,35,0,0,0,0,0,0,40
Bihar,ROHTAS,2013,8,0,4,0,110,0,0,4,0,0,0,126
Bihar,SAHARSA,2013,4,0,5,0,15,0,0,38,0,0,0,62
Bihar,SAMASTIPUR,2013,1,0,3,0,24,0,0,8,0,0,2,38
Bihar,SARAN,2013,1,0,0,0,107,0,0,0,0,0,0,108
Bihar,SHEIKHPURA,2013,0,0,8,0,36,0,0,0,0,0,0,44
Bihar,SHEOHAR,2013,0,0,0,0,0,0,0,22,0,0,0,22
Bihar,SITAMARHI,2013,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,SIWAN,2013,1,0,1,0,5,0,0,0,0,0,0,7
Bihar,SUPAUL,2013,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,VAISHALI,2013,13,0,10,0,76,0,0,0,0,0,0,99
Bihar,TOTAL,2013,101,0,86,1,1180,0,1,193,3,1,14,1580
Chhattisgarh,BALOD,2013,0,0,10,3,30,0,0,0,0,0,35,78
Chhattisgarh,BALODA BAZAR,2013,2,0,26,0,96,0,0,0,0,0,43,167
Chhattisgarh,BALRAMPUR,2013,4,0,4,0,13,0,0,0,0,0,40,61
Chhattisgarh,BEMETARA,2013,1,0,16,0,38,0,0,0,0,0,29,84
Chhattisgarh,BILASPUR,2013,1,0,13,2,25,0,0,0,0,0,75,116
Chhattisgarh,BIZAPUR,2013,0,0,1,0,14,1,0,0,0,0,21,37
Chhattisgarh,DANTEWARA,2013,6,1,1,0,6,0,0,0,0,0,5,19
Chhattisgarh,DHAMTARI,2013,0,0,21,0,33,0,3,0,0,0,34,91
Chhattisgarh,DURG,2013,6,0,60,0,103,0,0,0,0,0,202,371
Chhattisgarh,GARIYABAND,2013,0,0,24,0,16,0,0,0,0,0,14,54
Chhattisgarh,GRP RAIPUR,2013,0,0,1,0,2,0,3,0,0,0,0,6
Chhattisgarh,JAGDALPUR,2013,0,0,34,0,42,0,0,0,0,0,0,76
Chhattisgarh,JANJGIR,2013,7,0,25,1,191,2,1,0,0,0,109,336
Chhattisgarh,JASHPUR,2013,0,0,52,0,60,0,0,0,0,0,44,156
Chhattisgarh,KABIRDHAM,2013,1,0,4,0,1,0,0,0,0,0,35,41
Chhattisgarh,KANKER,2013,1,0,24,0,48,0,0,0,0,0,27,100
Chhattisgarh,KONDAGAON,2013,1,10,0,9,0,25,0,0,0,0,35,80
Chhattisgarh,KORBA,2013,4,0,26,0,73,0,0,0,0,0,40,143
Chhattisgarh,KORIYA,2013,2,0,32,0,70,0,0,0,0,0,30,134
Chhattisgarh,MAHASAMUND,2013,2,0,24,0,108,0,0,0,0,0,23,157
Chhattisgarh,MUNGELI,2013,0,0,16,0,55,0,0,0,0,0,17,88
Chhattisgarh,NARAYANPUR,2013,0,0,5,0,2,0,0,0,0,0,6,13
Chhattisgarh,RAIGARH,2013,3,1,15,0,106,0,0,0,0,1,27,153
Chhattisgarh,RAIPUR,2013,5,1,76,0,427,0,0,0,0,0,229,738
Chhattisgarh,RAJNANDGAON,2013,0,2,21,0,0,67,0,0,0,0,39,129
Chhattisgarh,SARGUJA,2013,1,0,28,0,18,0,0,0,0,0,66,113
Chhattisgarh,SUKMA,2013,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,SURAJPUR,2013,2,0,36,0,57,0,0,44,0,0,57,196
Chhattisgarh,TOTAL,2013,49,15,595,15,1634,95,7,44,0,1,1282,3737
Goa,NORTH GOA,2013,0,0,33,0,43,1,0,0,0,0,79,156
Goa,SOUTH GOA,2013,0,0,26,0,47,0,2,0,0,0,39,114
Goa,TOTAL,2013,0,0,59,0,90,1,2,0,0,0,118,270
Gujarat,AHMEDABAD COMMR.,2013,0,0,49,0,344,0,24,0,2,0,0,419
Gujarat,AHMEDABAD RURAL,2013,4,0,1,0,21,0,0,0,0,0,0,26
Gujarat,AHWA-DANG,2013,0,0,0,0,1,0,0,0,0,0,1,2
Gujarat,AMRELI,2013,2,0,5,0,47,0,2,0,0,1,0,57
Gujarat,ANAND,2013,2,0,3,0,59,0,6,0,0,0,0,70
Gujarat,BHARUCH,2013,1,0,14,0,40,0,2,0,0,0,0,57
Gujarat,BHAVNAGAR,2013,8,0,5,0,22,0,9,0,0,1,23,68
Gujarat,CID CRIME,2013,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,DAHOD,2013,5,0,7,0,61,0,4,0,0,0,12,89
Gujarat,GANDHINAGAR,2013,2,0,9,0,25,0,1,0,0,0,0,37
Gujarat,HIMATNAGAR,2013,4,0,1,0,57,0,7,0,0,1,0,70
Gujarat,JAMNAGAR,2013,6,0,9,0,16,0,3,0,0,1,0,35
Gujarat,JUNAGADH,2013,6,0,14,0,46,0,4,0,0,2,8,80
Gujarat,KHEDA NORTH,2013,2,0,2,0,63,0,9,0,0,1,0,77
Gujarat,KUTCH (EAST(G)),2013,0,0,4,0,12,0,2,0,0,0,0,18
Gujarat,KUTCH (WEST-BHUJ),2013,0,0,13,0,26,0,2,0,0,0,0,41
Gujarat,MEHSANA,2013,4,0,0,0,4,0,0,0,0,1,45,54
Gujarat,NARMADA,2013,0,0,1,0,3,0,0,0,0,0,0,4
Gujarat,NAVSARI,2013,2,0,3,0,15,0,2,0,0,1,0,23
Gujarat,PALANPUR,2013,0,0,6,0,7,0,0,0,0,0,3,16
Gujarat,PANCHMAHAL,2013,4,0,9,0,79,0,6,0,0,0,0,98
Gujarat,PATAN,2013,0,0,3,0,5,0,2,0,0,0,3,13
Gujarat,PORBANDAR,2013,1,0,3,0,8,0,0,0,0,1,5,18
Gujarat,RAJKOT COMMR.,2013,1,0,5,1,39,0,10,0,0,0,18,74
Gujarat,RAJKOT RURAL,2013,4,0,7,0,58,0,1,0,0,0,3,73
Gujarat,SURAT COMMR.,2013,4,0,40,0,78,0,8,0,0,0,2,132
Gujarat,SURAT RURAL,2013,1,0,7,0,23,0,0,0,0,0,1,32
Gujarat,SURENDRANAGAR,2013,3,0,10,0,57,0,1,0,0,0,0,71
Gujarat,TAPI,2013,0,0,1,0,0,0,0,0,0,0,3,4
Gujarat,VADODARA COMMR.,2013,3,0,12,1,73,0,2,0,0,1,47,139
Gujarat,VADODARA RURAL,2013,4,0,12,0,65,0,1,0,0,0,4,86
Gujarat,VALSAD,2013,1,0,7,0,68,0,0,0,0,1,0,77
Gujarat,W.RLY AHMEDABAD,2013,2,0,0,0,6,0,0,0,0,0,0,8
Gujarat,W.RLY VADODARA,2013,1,0,1,0,1,0,5,0,0,0,0,8
Gujarat,TOTAL,2013,77,0,263,2,1429,0,113,0,2,12,178,2076
Haryana,AMBALA RURAL,2013,11,0,9,0,11,0,0,0,0,0,1,32
Haryana,AMBALA URBAN,2013,4,0,19,1,39,0,0,0,0,0,0,63
Haryana,BHIWANI,2013,2,0,23,0,58,0,0,0,0,0,15,98
Haryana,FARIDABAD,2013,5,0,31,4,41,0,0,0,0,0,13,94
Haryana,FATEHABAD,2013,2,0,10,3,28,0,0,0,0,0,8,51
Haryana,GRP,2013,1,0,2,6,3,0,0,0,0,0,0,12
Haryana,GURGAON,2013,8,0,17,0,184,0,3,0,0,0,0,212
Haryana,HISSAR,2013,6,0,28,0,77,0,0,0,0,6,0,117
Haryana,I&P HARYANA,2013,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,JHAJJAR,2013,3,0,9,0,33,1,0,0,0,0,8,54
Haryana,JIND,2013,4,0,12,0,26,0,0,0,0,0,6,48
Haryana,KAITHAL,2013,0,0,11,0,23,0,0,0,1,4,25,64
Haryana,KARNAL,2013,2,0,43,0,137,0,1,0,1,1,37,222
Haryana,KURUKSHETRA,2013,0,0,6,0,4,0,0,0,0,1,23,34
Haryana,MAHENDRAGARH,2013,4,0,16,0,4,0,0,0,0,1,17,42
Haryana,MEWAT,2013,1,0,35,6,15,0,1,0,0,0,0,58
Haryana,PALWAL,2013,0,0,22,0,32,0,0,0,0,0,1,55
Haryana,PANCHKULA,2013,3,0,5,0,20,0,0,0,0,0,0,28
Haryana,PANIPAT,2013,6,0,20,1,50,5,2,0,0,2,0,86
Haryana,REWARI,2013,4,0,18,0,21,0,0,0,0,0,15,58
Haryana,ROHTAK,2013,3,0,6,0,2,0,0,0,0,0,28,39
Haryana,SIRSA,2013,1,0,28,0,62,0,0,0,0,0,0,91
Haryana,SONIPAT,2013,2,0,5,0,6,0,1,0,0,1,7,22
Haryana,YAMUNANAGAR,2013,1,0,13,0,35,0,0,0,0,1,10,60
Haryana,TOTAL,2013,73,0,388,21,911,6,8,0,2,17,214,1640
Himachal Pradesh,BADDIPOLICEDIST,2013,1,0,3,1,15,0,0,0,0,0,0,20
Himachal Pradesh,BILASPUR,2013,0,0,8,0,21,0,0,0,0,0,4,33
Himachal Pradesh,CHAMBA,2013,0,0,10,0,10,0,0,0,0,0,2,22
Himachal Pradesh,CID,2013,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,G.R.P.,2013,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,HAMIRPUR,2013,0,0,5,0,9,0,0,0,0,1,4,19
Himachal Pradesh,KANGRA,2013,2,0,17,0,31,0,2,0,0,1,19,72
Himachal Pradesh,KINNAUR,2013,0,0,4,0,3,0,0,0,0,0,0,7
Himachal Pradesh,KULLU,2013,2,0,14,0,20,0,0,0,0,0,10,46
Himachal Pradesh,LAHAUL-SPITI,2013,0,0,1,0,0,0,0,0,0,0,0,1
Himachal Pradesh,MANDI,2013,0,0,19,0,27,0,1,0,0,0,17,64
Himachal Pradesh,SHIMLA,2013,0,0,9,0,25,0,0,0,0,0,10,44
Himachal Pradesh,SIRMAUR,2013,0,0,13,1,16,1,3,0,0,0,6,40
Himachal Pradesh,SOLAN,2013,0,0,13,0,9,0,1,1,0,0,5,29
Himachal Pradesh,UNA,2013,0,0,14,0,12,0,0,0,0,0,5,31
Himachal Pradesh,TOTAL,2013,5,0,130,2,198,1,7,1,0,2,82,428
Jammu & Kashmir,ANANTNAG,2013,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,AWANTIPORA,2013,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,BANDIPORA,2013,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,BARAMULLA,2013,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,BUDGAM,2013,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,CRIME JAMMU,2013,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,CRIME SRINAGAR,2013,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,DODA,2013,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,GANDERBAL,2013,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,HANDWARA,2013,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,JAMMU,2013,1,0,0,0,0,0,0,0,0,0,2,3
Jammu & Kashmir,KARGIL,2013,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,KATHUA,2013,2,0,6,0,11,0,3,0,0,0,6,28
Jammu & Kashmir,KISHTWAR,2013,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,KULGAM,2013,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,KUPWARA,2013,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,LEH,2013,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,POONCH,2013,1,0,8,0,10,0,0,0,0,0,1,20
Jammu & Kashmir,PULWAMA,2013,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,RAILWAYS JAMMU,2013,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,RAILWAYS KASHMIR,2013,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,RAILWAYS KATRA,2013,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,RAJOURI,2013,4,0,0,0,0,0,0,0,0,0,0,4
Jammu & Kashmir,RAMBAN,2013,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,REASI,2013,0,0,1,0,1,0,0,0,0,0,0,2
Jammu & Kashmir,SAMBA,2013,0,0,3,0,1,0,0,1,0,0,0,5
Jammu & Kashmir,SHOPIAN,2013,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,SOPORE,2013,2,0,2,0,0,0,0,0,0,0,0,4
Jammu & Kashmir,SRINAGAR,2013,1,0,0,0,0,0,0,0,0,0,0,1
Jammu & Kashmir,UDHAMPUR,2013,0,0,5,0,3,0,0,0,0,0,0,8
Jammu & Kashmir,TOTAL,2013,11,0,25,0,26,0,3,1,0,0,9,75
Jharkhand,BOKARO,2013,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,CHAIBASA,2013,10,0,12,4,14,1,0,0,1,1,0,43
Jharkhand,CHATRA,2013,0,0,0,0,0,0,0,0,0,0,0,0
